id,CPU clock(MHZ),CPU usage(%),vedio memory(MB),GPU usage(%),memory(MB),FPS,Type
98,1583,17,907,19,1248,10,0
99,1510,26,877,9,1258,8,0
100,1413,30,856,6,1140,9,0
101,1421,29,780,15,1252,7,0
102,1114,21,851,12,1127,6,0
103,1084,28,786,11,1239,9,0
104,1388,17,825,19,1219,3,0
105,1388,18,907,19,1239,6,0
106,1691,32,802,18,1121,4,0
107,1295,19,817,11,1163,5,0
108,1053,25,862,10,1133,5,0
109,1487,21,786,17,1228,6,0
110,1613,28,825,18,1259,10,0
111,1573,23,877,11,1143,10,0
112,1510,25,874,8,1306,1,0
113,1300,19,847,13,1207,9,0
114,1697,23,881,17,1193,7,0
115,1751,23,906,19,1189,3,0
116,1724,29,883,19,1259,3,0
117,1282,28,781,9,1185,10,0
118,1116,31,828,13,1283,6,0
119,1176,19,904,7,1229,7,0
120,1209,32,857,10,1158,5,0
121,1541,31,866,5,1284,8,0
122,1437,26,839,19,1122,9,0
123,1427,28,817,17,1100,3,0
124,1350,26,805,16,1266,10,0
125,1314,21,882,7,1174,6,0
126,1241,21,896,7,1220,7,0
127,1060,30,839,10,1145,7,0
128,1433,20,882,12,1127,7,0
129,1550,31,841,10,1130,9,0
130,1183,33,812,12,1239,10,0
131,1287,25,886,16,1175,8,0
132,1198,19,874,15,1260,3,0
133,1664,19,881,5,1212,7,0
134,1138,33,911,10,1118,5,0
135,1296,18,782,8,1228,10,0
136,1073,33,831,14,1219,7,0
137,1551,26,847,5,1215,6,0
138,1141,21,903,11,1167,7,0
139,1585,31,812,14,1139,9,0
140,1223,32,881,16,1122,3,0
141,1477,18,879,15,1176,7,0
142,1759,19,806,13,1154,5,0
143,1733,29,827,11,1111,8,0
144,1712,32,791,16,1256,4,0
145,1608,26,785,5,1239,6,0
146,1613,31,905,10,1177,6,0
147,1007,26,902,9,1218,3,0
148,1569,33,781,11,1248,5,0
149,1701,23,902,8,1236,5,0
150,1555,28,799,17,1256,4,0
151,1527,27,821,17,1250,4,0
152,1286,19,784,6,1223,7,0
153,1584,27,824,12,1134,9,0
154,1045,28,855,6,1168,4,0
155,1605,31,779,14,1167,5,0
156,1037,31,852,19,1180,9,0
157,1418,26,791,13,1235,8,0
158,1756,23,787,5,1212,10,0
159,1293,17,811,5,1252,8,0
160,1231,19,796,15,1281,9,0
161,1168,21,900,12,1231,6,0
162,1568,22,880,15,1283,5,0
163,1558,17,867,9,1108,4,0
164,1307,28,778,5,1120,6,0
165,1561,20,818,18,1217,9,0
166,1419,18,899,11,1271,3,0
167,1275,32,893,13,1202,10,0
168,1326,26,843,16,1205,7,0
169,1607,27,828,12,1260,6,0
170,1378,33,837,7,1132,10,0
171,1459,23,902,5,1132,7,0
172,1643,21,875,13,1250,6,0
173,1009,25,780,11,1228,4,0
174,1599,18,902,19,1169,3,0
175,1029,30,903,9,1125,8,0
176,1694,17,791,18,1169,4,0
177,1755,21,895,17,1110,10,0
178,1183,30,806,8,1165,4,0
179,1156,30,815,9,1127,7,0
180,1706,24,838,6,1119,10,0
181,1131,17,871,15,1225,4,0
182,1482,21,847,15,1260,6,0
183,1634,32,866,18,1115,3,0
184,1102,32,787,8,1200,9,0
185,1339,31,887,10,1249,8,0
186,1198,28,896,17,1245,5,0
187,1219,19,815,14,1271,5,0
188,1516,23,816,16,1146,9,0
189,1362,33,847,18,1113,9,0
190,1203,27,783,9,1141,7,0
191,1077,33,841,12,1117,10,0
192,1378,32,884,13,1270,8,0
193,1136,25,840,6,1107,10,0
194,1726,30,815,19,1221,8,0
195,1140,19,868,18,1128,4,0
196,1584,24,867,16,1218,7,0
197,1133,31,876,16,1168,6,0
198,1447,33,825,8,1257,8,0
199,1179,22,820,5,1270,10,0
200,1226,23,896,8,1137,4,0
201,1203,29,897,19,1280,3,0
202,1471,27,841,11,1248,7,0
203,1512,30,819,8,1162,7,0
204,1326,27,899,16,1240,7,0
205,1334,31,826,9,1285,7,0
206,1601,24,856,11,1150,10,0
207,1195,30,784,5,1180,4,0
208,1398,23,795,8,1124,7,0
209,1746,28,824,5,1206,8,0
210,1587,33,822,13,1271,4,0
211,1164,30,839,14,1252,8,0
212,1668,33,831,7,1142,4,0
213,1673,25,804,12,1184,6,0
214,1769,31,859,19,1156,9,0
215,1741,24,900,6,1145,4,0
216,1564,25,857,19,1264,7,0
217,1057,22,871,8,1189,7,0
218,1412,22,872,16,1237,6,0
219,1417,20,803,12,1270,4,0
220,1471,27,886,10,1171,3,0
221,1301,25,871,12,1111,4,0
222,1071,22,837,19,1277,3,0
223,1507,27,820,10,1196,6,0
224,1463,29,870,17,1234,5,0
225,1630,31,854,12,1246,10,0
226,1650,25,876,17,1259,5,0
227,1341,19,798,13,1231,4,0
228,1375,28,882,13,1202,9,0
229,1387,19,849,6,1131,4,0
230,1151,19,802,17,1259,8,0
231,1281,28,784,12,1261,8,0
232,1200,30,816,18,1107,3,0
233,1256,30,845,8,1230,4,0
234,1450,27,803,12,1124,10,0
235,1186,20,804,17,1202,7,0
236,1278,26,855,5,1136,5,0
237,1020,27,846,8,1126,4,0
238,1242,25,818,9,1217,10,0
239,1124,19,876,11,1102,10,0
240,1430,25,813,7,1203,4,0
241,1639,24,866,15,1130,10,0
242,1684,19,793,17,1187,4,0
243,1424,25,781,16,1127,7,0
244,1536,33,780,14,1113,8,0
245,1519,18,864,13,1279,3,0
246,1668,30,780,16,1280,8,0
247,1030,17,830,6,1172,7,0
248,1301,31,799,9,1136,6,0
249,1273,17,896,15,1181,9,0
250,1305,24,878,19,1115,6,0
251,1704,21,862,17,1124,8,0
252,1186,23,882,11,1176,5,0
253,1281,27,901,18,1224,3,0
254,1060,32,848,15,1168,9,0
255,1424,29,839,18,1188,6,0
256,1459,31,875,10,1207,7,0
257,1414,21,807,7,1168,5,0
258,1650,22,829,7,1244,10,0
259,1581,29,780,11,1240,4,0
260,1758,27,893,8,1142,3,0
261,1674,17,829,15,1103,6,0
262,1072,26,818,19,1263,7,0
263,1251,33,912,16,1211,5,0
264,1092,27,883,19,1129,8,0
265,1657,29,876,5,1190,10,0
266,1529,33,828,5,1190,6,0
267,1416,27,824,15,1211,3,0
268,1069,21,850,6,1167,6,0
269,1769,30,844,7,1186,3,0
270,1244,27,911,11,1287,10,0
271,1262,26,819,16,1186,10,0
272,1128,29,891,18,1191,3,0
273,1724,31,864,6,1170,8,0
274,1043,25,818,11,1229,9,0
275,1401,23,882,18,1157,8,0
276,1665,32,785,10,1106,3,0
277,1494,27,891,8,1278,5,0
278,1062,22,909,7,1262,3,0
279,1161,28,908,17,1253,6,0
280,1754,31,881,18,1242,4,0
281,1472,23,893,16,1177,8,0
282,1681,25,847,9,1278,4,0
283,1606,22,853,13,1145,6,0
284,1769,23,805,5,1104,10,0
285,1253,31,852,13,1117,4,0
286,1714,26,826,12,1256,9,0
287,1373,22,894,14,1106,10,0
288,1324,28,872,17,1197,3,0
289,1034,24,785,12,1278,6,0
290,1700,31,803,14,1157,4,0
291,1632,33,825,16,1180,10,0
292,1128,23,882,6,1253,5,0
293,1347,17,896,12,1247,9,0
294,1264,30,827,6,1263,5,0
295,1088,21,780,7,1272,4,0
296,1354,19,876,7,1204,6,0
297,1705,26,832,15,1246,3,0
298,1118,23,866,13,1200,4,0
299,1693,22,797,10,1227,10,0
300,1586,22,819,15,1189,8,0
301,1254,27,903,10,1179,6,0
302,1009,26,778,10,1239,4,0
303,1649,20,831,12,1248,8,0
304,1112,27,803,10,1283,7,0
305,1722,23,823,6,1196,3,0
306,1063,18,864,6,1283,7,0
307,1395,25,866,6,1177,8,0
308,1645,21,877,19,1106,8,0
309,1476,22,895,12,1117,7,0
310,1691,22,859,6,1208,7,0
311,1129,30,791,11,1223,4,0
312,1265,24,780,13,1233,4,0
313,1425,28,849,7,1116,6,0
314,1170,31,873,19,1243,8,0
315,1473,30,893,5,1154,7,0
316,1584,28,806,15,1137,4,0
317,1752,19,891,19,1200,10,0
318,1449,25,854,18,1259,3,0
319,1236,31,852,17,1281,8,0
320,1352,21,873,5,1177,7,0
321,1050,17,900,18,1269,8,0
322,1662,19,871,13,1110,4,0
323,1038,19,843,6,1238,7,0
324,1262,22,794,10,1191,9,0
325,1185,31,870,11,1186,9,0
326,1108,29,866,17,1190,10,0
327,1214,27,904,11,1167,6,0
328,1378,23,794,14,1134,9,0
329,1682,22,835,15,1241,5,0
330,1314,22,795,17,1221,9,0
331,1104,28,789,14,1195,4,0
332,1603,25,864,13,1173,9,0
333,1514,29,784,15,1271,6,0
334,1606,23,861,19,1209,10,0
335,1535,32,881,15,1284,3,0
336,1757,29,868,13,1143,7,0
337,1287,18,803,16,1196,10,0
338,1208,19,896,13,1251,6,0
339,1461,26,885,14,1260,5,0
340,1358,25,797,19,1223,7,0
341,1209,32,829,12,1244,7,0
342,1417,29,908,13,1179,7,0
343,1151,32,896,12,1210,7,0
344,1471,26,881,17,1211,7,0
345,1593,22,891,16,1110,4,0
346,1364,28,910,16,1208,6,0
347,1539,22,843,12,1274,3,0
348,1173,17,801,9,1289,8,0
349,1363,24,892,11,1108,5,0
350,1302,27,873,5,1149,5,0
351,1689,31,814,8,1267,3,0
352,1474,31,838,5,1129,3,0
353,1529,33,870,5,1280,5,0
354,1131,23,896,15,1149,8,0
355,1532,25,891,14,1158,10,0
356,1027,31,845,13,1249,3,0
357,1361,20,863,13,1236,5,0
358,1437,32,834,9,1136,3,0
359,1331,22,792,18,1159,6,0
360,1505,17,871,12,1240,9,0
361,1147,22,846,9,1246,3,0
362,1603,28,838,15,1240,7,0
363,1477,28,838,16,1240,8,0
364,1364,17,818,16,1114,9,0
365,1242,28,846,13,1259,4,0
366,1120,22,810,13,1103,7,0
367,1717,25,902,6,1193,8,0
368,1524,22,826,17,1272,9,0
369,1016,18,785,8,1264,3,0
370,1362,21,821,6,1266,3,0
371,1360,30,893,14,1147,3,0
372,1488,29,792,18,1273,9,0
373,1166,21,819,9,1273,8,0
374,1775,19,908,16,1183,4,0
375,1045,26,824,12,1204,10,0
376,1228,18,841,10,1191,6,0
377,1371,19,860,9,1230,5,0
378,1028,18,807,10,1198,8,0
379,1390,30,858,15,1226,6,0
380,1242,29,840,5,1109,6,0
381,1406,23,836,19,1225,3,0
382,1407,22,885,18,1287,10,0
383,1010,19,824,19,1115,7,0
384,1272,28,884,17,1104,5,0
385,1003,20,843,8,1257,7,0
386,1289,18,803,17,1247,4,0
387,1693,29,886,13,1217,9,0
388,1183,22,820,19,1138,9,0
389,1336,20,837,10,1170,3,0
390,1687,20,890,10,1274,6,0
391,1383,21,824,12,1273,9,0
392,1038,21,886,13,1216,7,0
393,1406,28,900,10,1178,10,0
394,1051,33,871,9,1166,5,0
395,1608,24,795,19,1123,10,0
396,1098,21,878,8,1263,6,0
397,1531,30,831,15,1101,6,0
398,1581,20,815,17,1163,10,0
399,1532,20,849,16,1268,9,0
400,1570,32,817,17,1163,8,0
401,1221,18,807,8,1144,7,0
402,1507,19,898,19,1125,5,0
403,1075,30,786,13,1145,3,0
404,1371,25,854,17,1257,7,0
405,1479,26,909,7,1136,4,0
406,1574,28,867,11,1232,7,0
407,1259,18,823,6,1100,9,0
408,1433,23,860,12,1110,4,0
409,1695,29,903,12,1118,7,0
410,1457,20,894,10,1117,3,0
411,1058,18,891,14,1261,4,0
412,1594,32,890,12,1190,5,0
413,1222,24,883,19,1242,7,0
414,1644,19,784,7,1275,5,0
415,1725,20,816,10,1274,3,0
416,1688,33,793,6,1136,3,0
417,1042,30,817,14,1212,8,0
418,1463,25,803,14,1257,3,0
419,1442,31,817,11,1150,6,0
420,1575,23,799,8,1225,4,0
421,1354,27,876,11,1221,10,0
422,1541,25,858,9,1148,10,0
423,1025,27,868,6,1145,3,0
424,1771,31,783,6,1166,5,0
425,1093,24,809,9,1192,9,0
426,1284,21,866,9,1208,4,0
427,1620,30,883,14,1253,6,0
428,1097,19,789,12,1234,3,0
429,1081,26,795,16,1133,8,0
430,1554,23,792,18,1144,6,0
431,1358,18,818,12,1229,9,0
432,1611,28,872,14,1176,8,0
433,1169,27,848,14,1135,8,0
434,1651,22,836,14,1211,5,0
435,1188,20,784,13,1146,10,0
436,1071,32,838,13,1110,5,0
437,1400,21,834,16,1284,3,0
438,1775,31,806,13,1150,4,0
439,1359,23,788,15,1273,8,0
440,1394,25,805,8,1151,6,0
441,1569,30,845,11,1110,8,0
442,1590,21,802,13,1266,10,0
443,1639,18,885,6,1215,5,0
444,1604,18,876,15,1269,5,0
445,1109,19,884,17,1286,3,0
446,1310,17,910,18,1226,6,0
447,1044,17,843,15,1248,3,0
448,1565,25,819,6,1288,5,0
449,1027,23,897,15,1103,3,0
450,1257,25,906,13,1154,7,0
451,1357,22,832,12,1275,4,0
452,1484,25,841,15,1243,10,0
453,1370,18,807,13,1232,7,0
454,1434,17,797,19,1105,4,0
455,1298,20,869,12,1216,7,0
456,1308,22,895,9,1101,5,0
457,1153,28,829,7,1135,6,0
458,1066,25,852,7,1267,10,0
459,1472,31,910,12,1191,9,0
460,1598,25,784,15,1138,6,0
461,1022,31,830,9,1103,9,0
462,1524,26,864,13,1284,5,0
463,1503,22,884,19,1269,8,0
464,1512,31,862,13,1169,4,0
465,1470,28,869,5,1230,3,0
466,1479,33,866,13,1215,3,0
467,1438,29,856,10,1123,7,0
468,1195,26,856,10,1192,8,0
469,1056,33,898,16,1161,5,0
470,1617,33,837,18,1288,4,0
471,1605,22,788,5,1185,7,0
472,1257,23,891,14,1241,5,0
473,1484,26,867,6,1178,8,0
474,1325,25,898,15,1178,3,0
475,1478,26,785,10,1142,9,0
476,1718,21,900,11,1250,9,0
477,1173,21,795,5,1208,8,0
478,1351,22,882,11,1249,3,0
479,1630,22,832,5,1224,9,0
480,1576,23,792,12,1245,10,0
481,1525,25,896,15,1104,8,0
482,1279,20,810,12,1216,8,0
483,1529,25,825,14,1171,6,0
484,1104,17,851,9,1142,5,0
485,1676,29,876,12,1139,4,0
486,1635,28,897,14,1212,9,0
487,1603,26,808,19,1141,7,0
488,1356,29,860,12,1242,8,0
489,1315,33,883,5,1158,3,0
490,1576,19,850,10,1267,7,0
491,1556,32,876,11,1200,9,0
492,1140,20,892,13,1163,7,0
493,1343,18,912,17,1148,6,0
494,1236,19,911,8,1200,3,0
495,1770,32,821,15,1172,7,0
496,1297,25,849,11,1214,9,0
497,1429,32,881,8,1204,5,0
498,1220,30,797,15,1253,5,0
499,1344,33,812,15,1220,7,0
500,1448,23,854,18,1250,9,0
501,1588,25,838,14,1257,10,0
502,1487,25,804,7,1166,4,0
503,1197,17,896,9,1109,5,0
504,1111,23,854,10,1202,10,0
505,1508,24,896,19,1153,7,0
506,1529,23,898,16,1268,9,0
507,1216,29,824,14,1167,7,0
508,1219,17,857,7,1246,8,0
509,1552,21,903,16,1152,9,0
510,1569,27,830,15,1225,9,0
511,1639,21,912,10,1239,7,0
512,1280,27,895,8,1175,10,0
513,1186,33,874,13,1131,5,0
514,1678,29,871,19,1230,5,0
515,1581,21,904,8,1247,9,0
516,1173,25,843,16,1267,7,0
517,1470,24,826,14,1244,3,0
518,1140,20,849,5,1234,7,0
519,1348,24,785,14,1110,9,0
520,1690,26,888,5,1268,6,0
521,1192,19,843,8,1260,6,0
522,1486,29,904,13,1114,6,0
523,1422,22,781,17,1231,10,0
524,1160,19,815,17,1210,6,0
525,1650,23,801,7,1221,5,0
526,1419,21,800,13,1147,3,0
527,1302,17,854,14,1213,9,0
528,1694,31,828,12,1255,5,0
529,1476,21,878,12,1273,5,0
530,1551,32,875,7,1241,3,0
531,1651,23,796,8,1127,6,0
532,1501,18,847,11,1216,9,0
533,1316,17,833,15,1209,7,0
534,1417,27,871,6,1106,5,0
535,1093,24,788,5,1180,8,0
536,1008,27,851,6,1190,9,0
537,1687,28,781,16,1115,7,0
538,1553,31,829,18,1250,6,0
539,1120,18,900,10,1189,6,0
540,1660,20,786,16,1148,3,0
541,1417,21,864,14,1213,8,0
542,1579,18,874,10,1204,8,0
543,1160,22,789,18,1147,8,0
544,1285,21,872,14,1124,3,0
545,1583,26,854,7,1251,7,0
546,1209,33,812,17,1265,8,0
547,1683,27,822,16,1231,6,0
548,1140,26,830,10,1253,8,0
549,1521,28,783,11,1269,3,0
550,1058,33,796,12,1202,9,0
551,1462,33,858,19,1219,6,0
552,1196,18,835,18,1108,3,0
553,1349,27,873,15,1234,4,0
554,1687,22,812,10,1267,3,0
555,1174,17,821,15,1235,6,0
556,1089,26,849,8,1145,4,0
557,1212,27,890,11,1243,4,0
558,1488,20,906,5,1280,10,0
559,1092,23,857,10,1142,5,0
560,1041,22,912,19,1107,5,0
561,1255,25,787,13,1118,5,0
562,1644,26,891,18,1186,9,0
563,1530,20,899,8,1262,5,0
564,1304,23,848,8,1119,3,0
565,1182,19,782,6,1203,4,0
566,1590,18,837,18,1105,5,0
567,1570,32,816,7,1248,6,0
568,1437,24,824,14,1117,9,0
569,1351,17,912,16,1167,5,0
570,1458,21,840,19,1198,4,0
571,1722,23,881,6,1251,10,0
572,1510,29,831,19,1228,7,0
573,1155,33,852,13,1234,8,0
574,1284,22,785,19,1165,7,0
575,1057,26,824,18,1277,10,0
576,1752,22,890,8,1263,5,0
577,1286,28,816,14,1135,9,0
578,1619,21,840,5,1234,3,0
579,1111,20,896,7,1256,8,0
580,1080,26,849,15,1156,3,0
581,1123,21,816,5,1277,6,0
582,1603,30,794,6,1184,4,0
583,1325,23,806,5,1185,3,0
584,1687,32,845,5,1116,7,0
585,1209,20,880,17,1287,3,0
586,1019,18,911,13,1204,4,0
587,1282,29,894,10,1142,4,0
588,1097,29,862,19,1193,10,0
589,1769,20,899,6,1122,9,0
590,1583,23,795,9,1106,7,0
591,1758,22,842,12,1175,10,0
592,1169,25,818,12,1286,10,0
593,1384,23,839,12,1177,6,0
594,1152,31,803,6,1254,7,0
595,1032,30,899,14,1258,10,0
596,1536,29,812,8,1169,9,0
597,1443,28,869,16,1176,5,0
598,1443,31,848,8,1168,4,0
599,1266,26,808,8,1192,9,0
600,1404,30,909,5,1287,7,0
601,1003,25,863,14,1155,8,0
602,1009,32,820,12,1243,3,0
603,1078,24,812,10,1151,4,0
604,1635,17,870,6,1268,10,0
605,1475,22,890,11,1159,7,0
606,1204,32,900,18,1138,9,0
607,1056,23,818,18,1264,10,0
608,1565,26,903,5,1129,7,0
609,1142,24,837,5,1197,3,0
610,1121,30,861,7,1278,9,0
611,1141,27,816,5,1218,9,0
612,1488,21,899,18,1184,7,0
613,1645,20,880,16,1228,3,0
614,1340,24,827,14,1226,10,0
615,1569,29,821,8,1110,6,0
616,1094,33,894,16,1174,10,0
617,1390,26,806,7,1266,5,0
618,1762,19,832,5,1102,5,0
619,1773,21,848,14,1144,6,0
620,1035,33,804,10,1269,3,0
621,1531,26,883,11,1188,8,0
622,1216,23,911,5,1196,5,0
623,1326,20,823,18,1260,8,0
624,1095,22,785,14,1122,6,0
625,1148,17,830,15,1112,10,0
626,1052,20,857,10,1218,6,0
627,1051,23,848,6,1204,8,0
628,1113,33,813,12,1122,8,0
629,1644,27,802,15,1218,10,0
630,1491,29,796,5,1205,5,0
631,1632,17,882,11,1198,10,0
632,1657,25,803,5,1236,4,0
633,1522,21,876,6,1252,8,0
634,1036,19,870,15,1110,9,0
635,1431,24,842,16,1287,10,0
636,1379,18,888,15,1287,4,0
637,1111,21,814,19,1274,8,0
638,1436,24,823,7,1148,9,0
639,1642,25,896,12,1126,9,0
640,1009,32,811,8,1154,5,0
641,1022,17,908,18,1276,9,0
642,1486,33,829,7,1195,8,0
643,1686,29,873,9,1175,6,0
644,1728,18,835,17,1130,4,0
645,1492,25,814,8,1250,6,0
646,1599,23,893,9,1142,10,0
647,1046,24,819,18,1246,7,0
648,1500,32,843,14,1155,3,0
649,1357,18,845,9,1233,10,0
650,1403,19,846,18,1130,9,0
651,1366,22,813,9,1168,3,0
652,1074,33,835,8,1110,4,0
653,1555,27,853,5,1268,6,0
654,1299,31,804,19,1251,9,0
655,1536,21,826,6,1244,4,0
656,1663,17,900,15,1222,9,0
657,1503,22,853,18,1198,7,0
658,1581,21,784,13,1238,3,0
659,1304,23,886,13,1265,4,0
660,1534,32,803,9,1237,8,0
661,1135,27,838,16,1253,10,0
662,1321,30,796,19,1214,10,0
663,1646,24,911,19,1219,3,0
664,1469,28,820,13,1246,6,0
665,1706,19,889,14,1203,7,0
666,1549,28,825,16,1209,9,0
667,1048,20,900,9,1186,10,0
668,1767,18,876,8,1262,6,0
669,1677,24,793,18,1233,3,0
670,1723,21,816,5,1237,10,0
671,1389,28,882,11,1115,10,0
672,1482,30,821,8,1227,9,0
673,1035,28,902,15,1224,9,0
674,1636,17,895,12,1226,5,0
675,1373,17,819,15,1213,6,0
676,1240,27,902,17,1196,9,0
677,1498,27,832,16,1123,8,0
678,1387,27,803,5,1143,5,0
679,1188,24,869,14,1154,10,0
680,1635,20,821,17,1223,10,0
681,1300,24,801,5,1287,9,0
682,1185,25,897,10,1223,9,0
683,1659,24,897,11,1217,10,0
684,1107,27,843,16,1276,10,0
685,1108,22,817,6,1225,4,0
686,1130,28,778,7,1206,9,0
687,1257,30,846,7,1138,6,0
688,1457,23,850,16,1199,7,0
689,1348,32,788,17,1227,7,0
690,1686,22,825,7,1217,5,0
691,1204,25,791,12,1261,9,0
692,1034,27,800,7,1235,5,0
693,1637,26,888,17,1160,9,0
694,1696,26,885,11,1263,8,0
695,1647,31,845,5,1145,10,0
696,1768,19,833,7,1279,10,0
697,1513,33,855,6,1209,10,0
698,1019,33,875,11,1244,10,0
699,1180,17,837,14,1108,5,0
700,1201,17,832,15,1112,4,0
701,1335,32,857,7,1110,10,0
702,1047,30,812,11,1258,5,0
703,1266,20,827,16,1242,9,0
704,1536,32,884,8,1211,6,0
705,1595,29,849,13,1249,6,0
706,1220,17,813,13,1184,8,0
707,1763,17,789,14,1206,6,0
708,1599,30,908,11,1240,7,0
709,1759,18,788,6,1170,6,0
710,1552,33,889,12,1270,9,0
711,1545,32,833,16,1189,5,0
712,1706,31,907,13,1160,6,0
713,1743,17,853,12,1162,4,0
714,1726,17,884,6,1187,9,0
715,1467,22,877,15,1282,4,0
716,1608,30,833,18,1134,9,0
717,1483,33,827,8,1243,5,0
718,1697,30,834,13,1184,4,0
719,1535,21,896,14,1118,4,0
720,1253,23,839,10,1117,9,0
721,1187,33,835,19,1149,8,0
722,1087,22,854,9,1115,9,0
723,1289,27,869,13,1121,6,0
724,1619,28,858,18,1207,9,0
725,1208,29,876,11,1155,7,0
726,1316,17,885,6,1154,8,0
727,1351,33,837,9,1232,6,0
728,1245,20,827,14,1111,9,0
729,1224,18,779,6,1227,8,0
730,1340,19,803,10,1240,7,0
731,1218,21,875,15,1160,10,0
732,1545,23,808,5,1237,6,0
733,1501,19,793,17,1101,4,0
734,1531,19,871,5,1130,7,0
735,1655,17,857,10,1287,5,0
736,1068,23,861,6,1202,7,0
737,1159,19,848,10,1281,6,0
738,1440,23,912,14,1199,10,0
739,1468,33,882,5,1144,6,0
740,1239,28,871,15,1266,5,0
741,1542,33,885,10,1249,9,0
742,1165,21,807,8,1109,5,0
743,1278,30,894,10,1100,4,0
744,1086,32,830,12,1262,7,0
745,1003,18,806,6,1216,10,0
746,1757,28,900,10,1122,10,0
747,1722,17,809,6,1141,9,0
748,1435,20,898,10,1261,9,0
749,1489,23,864,13,1227,10,0
750,1078,17,792,7,1252,4,0
751,1557,32,817,15,1209,9,0
752,1281,21,880,10,1116,4,0
753,1772,18,904,19,1191,3,0
754,1761,23,898,19,1121,8,0
755,1573,18,858,17,1264,3,0
756,1648,31,832,14,1259,8,0
757,1639,17,908,6,1205,3,0
758,1386,33,869,7,1120,6,0
759,1519,18,834,11,1188,8,0
760,1402,31,787,18,1223,6,0
761,1491,20,890,16,1199,8,0
762,1031,29,824,8,1177,5,0
763,1294,32,861,7,1284,9,0
764,1534,27,795,9,1206,8,0
765,1120,32,826,7,1104,3,0
766,1640,25,845,8,1279,5,0
767,1369,31,862,5,1130,8,0
768,1320,31,904,8,1245,7,0
769,1097,20,843,5,1135,5,0
770,1064,28,897,9,1104,8,0
771,1074,20,824,12,1125,4,0
772,1536,33,798,18,1120,5,0
